Trial,Female ID,Winner ID,abdomen,thorax,femur,tibia,Loser ID,abdomen,thorax,femur,tibia,,win,loser,large,small,diff,lg win,,win,loser,large,small,diff,lg win
1,33,32,6.413,2.986,3.86,3.23,31,6.296,2.873,3.7,3.24,,3.86,3.7,3.86,3.7,0.16,1,,2.986,2.873,2.986,2.873,0.113,1
2,25,23,6.275,2.844,3.68,3.24,24,5.732,2.872,3.37,3,,3.68,3.37,3.68,3.37,0.31,1,,2.844,2.872,2.872,2.844,0.028,0
3,36,34,5.868,2.48,3.36,2.91,35,5.905,2.881,3.44,3.1,,3.36,3.44,3.44,3.36,0.08,0,,2.48,2.881,2.881,2.48,0.401,0
4,28,26,6.167,2.853,3.65,3.18,27,6.477,2.945,3.82,3.41,,3.65,3.82,3.82,3.65,0.17,0,,2.853,2.945,2.945,2.853,0.092,0
5,65,64,5.855,2.603,3.34,2.82,63,6.002,2.919,3.6,3.07,,3.34,3.6,3.6,3.34,0.26,0,,2.603,2.919,2.919,2.603,0.316,0
6,32,55,6.506,2.595,3.64,3.06,56,5.987,2.287,3.33,2.8,,3.64,3.33,3.64,3.33,0.31,1,,2.595,2.287,2.595,2.287,0.308,1
7,74,73,6.221,2.733,3.6,2.98,72,5.8,2.733,3.49,2.91,,3.6,3.49,3.6,3.49,0.11,1,,2.733,2.733,2.733,2.733,0,0
8,133,131,5.787,3.007,3.38,3.09,132,6.176,2.896,3.87,3.32,,3.38,3.87,3.87,3.38,0.49,0,,3.007,2.896,3.007,2.896,0.111,1
9,90,88,6.139,2.912,3.71,3.21,89,5.585,2.538,3.28,2.82,,3.71,3.28,3.71,3.28,0.43,1,,2.912,2.538,2.912,2.538,0.374,1
10,71,69,5.831,2.721,3.36,2.76,70,6.622,2.907,3.86,3.3,,3.36,3.86,3.86,3.36,0.5,0,,2.721,2.907,2.907,2.721,0.186,0
11,98,97,5.564,2.658,3.52,2.97,96,6.329,2.758,3.63,3.23,,3.52,3.63,3.63,3.52,0.11,0,,2.658,2.758,2.758,2.658,0.1,0
12,101,100,6.006,2.915,3.66,3.14,99,6.061,2.802,3.61,3.18,,3.66,3.61,3.66,3.61,0.05,1,,2.915,2.802,2.915,2.802,0.113,1
13,110,108,5.813,2.56,3.34,2.85,109,5.943,2.8,3.55,3.04,,3.34,3.55,3.55,3.34,0.21,0,,2.56,2.8,2.8,2.56,0.24,0
14,106,107,5.896,3.084,3.6,3.05,105,5.938,2.961,3.7,3.14,,3.6,3.7,3.7,3.6,0.1,0,,3.084,2.961,3.084,2.961,0.123,1
17,139,138,6.155,2.732,3.55,3.04,137,6.172,2.866,3.35,2.78,,3.55,3.35,3.55,3.35,0.2,1,,2.732,2.866,2.866,2.732,0.134,0
19,140,142,6.258,3.019,3.79,3.15,141,6.051,2.698,3.59,3.1,,3.79,3.59,3.79,3.59,0.2,1,,3.019,2.698,3.019,2.698,0.321,1
20,157,156,6.612,2.726,3.7,3.16,155,6.221,2.8,3.71,3.07,,3.7,3.71,3.71,3.7,0.01,0,,2.726,2.8,2.8,2.726,0.074,0
21,163,162,6.195,2.845,3.71,3.22,161,6.074,2.693,3.57,3.08,,3.71,3.57,3.71,3.57,0.14,1,,2.845,2.693,2.845,2.693,0.152,1
22,160,158,5.789,2.734,3.45,2.86,159,6.289,2.619,3.64,3.21,,3.45,3.64,3.64,3.45,0.19,0,,2.734,2.619,2.734,2.619,0.115,1
24,172,171,6.503,2.854,3.909,3.357,170,5.924,2.796,3.476,2.997,,3.909,3.476,3.909,3.476,0.433,1,,2.854,2.796,2.854,2.796,0.058,1
25,181,179,6.352,2.976,3.732,3.117,180,6.322,3.127,3.857,3.188,,3.732,3.857,3.857,3.732,0.125,0,,2.976,3.127,3.127,2.976,0.151,0
26,178,177,6.436,2.896,3.922,3.291,176,6.138,2.919,3.632,3.184,,3.922,3.632,3.922,3.632,0.29,1,,2.896,2.919,2.919,2.896,0.023,0
27,184,181,7.653,3.306,4.283,3.523,180,6.27,3.009,3.896,3.289,,4.283,3.896,4.283,3.896,0.387,1,,3.306,3.009,3.306,3.009,0.297,1
30,175,174,6.027,2.724,3.623,3.098,173,5.927,2.659,3.54,3.04,,3.623,3.54,3.623,3.54,0.083,1,,2.724,2.659,2.724,2.659,0.065,1
,,,,,,,,,,,,,,,,,,13,,,,,,,12