winner_id,w_thorax,w_femur,loser_id,thorax_l,femur_l
32,2.986,3.86,31,2.873,3.7
23,2.844,3.68,24,2.872,3.37
34,2.48,3.36,35,2.881,3.44
26,2.853,3.65,27,2.945,3.82
64,2.603,3.34,63,2.919,3.6
55,2.595,3.64,56,2.287,3.33
73,2.733,3.6,72,2.733,3.49
131,3.007,3.38,132,2.896,3.87
88,2.912,3.71,89,2.538,3.28
69,2.721,3.36,70,2.907,3.86
97,2.658,3.52,96,2.758,3.63
100,2.915,3.66,99,2.802,3.61
108,2.56,3.34,109,2.8,3.55
107,3.084,3.6,105,2.961,3.7
138,2.732,3.55,137,2.866,3.35
142,3.019,3.79,141,2.698,3.59
156,2.726,3.7,155,2.8,3.71
162,2.845,3.71,161,2.693,3.57
158,2.734,3.45,159,2.619,3.64
 , , , , , 
 , , , , , 
 , , , , , 
 , , , , , 
 , , , , , 
 , , , , , 
 , , , , , 
 , , , , , 
 , , , , , 
 , , , , , 
 , , , , , 
 , , , , , 
 , , , , , 