id,pair,sex,l_fem,r_fem,l_tib,r_tib,tot_abdo,thorax,eggs,mated
1,1,f,3.766,3.781,3.144,3.147,6.893,2.926,8,1
3,2,f,3.832,3.809,3.265,3.265,7.159,2.873,13,1
5, ,f,3.714,3.806,3.086,3.18,7.635,2.896,12,0
6, ,f,3.636,3.63,2.987,3.051,6.68,2.688,4,0
7,3,f,3.767,3.71,3.22,3.248,6.684,2.983,20,1
9,4,f,3.804,3.889,3.07,3.177,6.747,3.04,4,1
11,5,f,3.513,3.544,3.019,2.938,6.652,2.845,13,1
14,6,f,3.626,3.627,3.145,2.982,6.742,2.979,12,1
15,7,f,3.717,3.8,3.141,3.096,6.887,2.847,11,1
17,8,f,3.668,3.618,3.116,3.175,7.291,2.682,13,1
21,9,f,3.847,3.847,3.29,3.206,6.897,2.867,20,1
25, ,f,3.829,3.863,3.182,3.26,6.822,2.916,25,0
28, ,f,3.794,3.922,3.424,3.381,7.258,3.002,23,0
30,10,f,3.265, ,2.791,2.946,6.092,2.646,1,1
33, ,f,4.085,4.152,3.327,3.372,7.37,3.269,26,0
36, ,f,3.614,3.622,3.125,3.06,6.459,3.062,17,0
37,11,f,4.106,4.324,3.264,3.563,8.124,3.197,26,1
40,12,f,3.823,3.756,3.123,2.964,6.596,2.955,29,1
41,13,f,3.931,3.978,3.209,3.271,7.035,3.182,45,1
44,14,f,3.443,3.507,3.128,3.004,6.597,2.745,28,1
45,15,f,3.729, ,3.323,3.386,7.215,3.116,37,1
47, ,f,3.778,3.763,3.121,3.175,7.645,3.168, ,0
48, ,f,3.872, ,3.37, ,7.399,3.1,27,0
50, ,f,4.047,4.024,3.297,3.273,7.206,3.194,28,0
51, ,f,3.807,3.745,3.203,3.262,7.242,2.812,30,0
53,16,f,3.718,3.769,3.117,3.077,6.896,2.982,2,1
57, ,f,3.625,3.614,2.953,3.023,6.79,2.613,32,0
59,17,f,3.75,3.797,3.163,3.192,6.774,2.892,28,1
60, ,f,4.042,4.052,3.518,3.597,7.852,3.062,21,0
61, ,f,3.813,3.814,3.25,3.162,6.84,2.815,16,0
65, ,f,3.746,3.763,3.223,3.196,6.046,2.946,17,0
66, ,f,3.978,3.948,3.249,3.243,7.204,3.127,41,0
67, ,f,3.632,3.637,3.072,2.977,6.679,2.793,24,0
71, ,f,3.93,3.992,3.305,3.322,7.092,2.922,12,0
74, ,f,3.969,3.969,3.334,3.414,7.219,3.018,46,0
76,18,f,3.952,3.913,3.348,3.382,6.933,3.069,6,1
78,19,f,3.841,3.887,3.294,3.285,7.462,2.841, ,1
79, ,f,3.942,3.938,3.297,3.293,7.003,2.974,41,0
80, ,f,3.867,3.85,3.283,3.298,7.022,3.196,34,0
83, ,f,3.517,3.572,3.064,3.006,6.581,2.862,5,0
85, ,f,3.326,3.353,2.785, ,6.139,2.701,1,0
87,20,f,3.968,3.9,3.389,3.36,7.173,3.109,12,1
90, ,f,3.801,3.804,3.01,3.072,6.786,2.867,6,0
91, ,f,3.762,3.694,3.066,3.065,6.865,2.838,22,0
92, ,f,3.543,3.509,3.024,3.071,6.411,2.85,14,0
94, ,f,4.024,4.043,3.38,3.412,7.586,3.443,16,0
95, ,f,3.835,3.897,3.181,3.218,6.86,2.82,17,0
98, ,f,3.952,4.044,3.471,3.488,7.651,3.236,20,0
101, ,f,4.038,3.996,3.349,3.521,7.121,3.187,29,0
102, ,f,3.348,3.416,2.983,2.95,6.265,2.679,18,0
103, ,f,3.817,3.821,3.273,3.308,6.487,3.083,24,0
106, ,f,3.753, ,3.323,3.309,6.669,3.085,14,0
110, ,f,4.02,4.058,3.423,3.457,7.127,3.248,8,0
111, ,f,3.909,3.845,3.377,3.355,6.63,3.203,17,0
112, ,f,3.907,3.843,3.149,3.179,7.202,3.298,34,0
115,21,f,3.905,3.939,3.345,3.397,7.237,3.103,10,1
117,22,f,3.831,3.742,3.289,3.213,6.892,2.969, ,1
119,23,f,3.678, ,3.111,3.121,6.576,3.195,28,1
120, ,f,3.882,3.9,3.202,3.266,6.783,3.05,3,0
121, ,f,4.054,4.049,3.624,3.592,7.281,3.168, ,0
122, ,f,3.614, ,3.009,3.013,6.52,2.696, ,0
123, ,f,3.681,3.59,3.207,3.106,6.553,2.977,26,0
124, ,f,4.099,4.163,3.397,3.432,7.88,3.325,32,0
127,24,f,3.91, ,3.457,3.389,7.43,2.854,37,1
128, ,f,3.393, ,2.937,2.997,6.164,2.724,2,0
129, ,f,3.886,3.86,3.226,3.207,7.084,2.941,15,0
133, ,f,3.958,3.923,3.397, ,6.499,3.163,12,0
139, ,f,3.802,3.862,3.262,3.334,6.912,3.152,22,0
140, ,f,3.814,3.814,3.136,3.151,6.684,3.057,10,0
147, ,f,3.512,3.512,3.006,3.014,6.011,2.708,10,0
150, ,f,3.623,3.671,3.19,3.138,6.532,2.774,7,0
154, ,f,3.608, ,3.148, ,6.298,2.902,27,0
157, ,f,3.911, ,3.322,3.335,7.166,2.81,7,0
160, ,f,4.34,4.307,3.739,3.745,7.514,3.567, ,0
163, ,f,4.252, ,3.774,3.73,7.948,3.396, ,0
165,25,f,4.114, ,3.361,3.45,7.174,3.107,10,1
172,,f,3.835,3.471,3.271,3.333,7.002,3.082,,0
178,,f,3.536,3.616,3.136,3.104,6.863,3.169,,0
181,,f,3.924,3.88,3.405,3.328,7.659,3.286,,0
184,,f,3.756,3.694,3.51,3.506,7.269,3.084,,0
2,1,m,3.781,3.795,3.24,3.241,6.637,2.985, ,1
4,2,m,3.222,3.252,2.867,2.895,6.189,2.528, ,1
8,3,m,3.418,3.431,2.948,3.023,5.705,2.668, ,1
10,4,m,3.362,3.453,2.904,2.859,5.846,2.74, ,1
12,5,m,3.545,3.52,2.959,3.003,6.052,2.981, ,1
13,6,m,3.747,3.627,3.038,3.055,6.264,2.907, ,1
16,7,m,3.468,3.276,3.101,2.882,6.238,2.775, ,1
18,8,m,3.492,3.454,3.109,3.024,6.006,2.923, ,1
19, ,m,3.548,3.684,3.04,2.962,6.477,2.75, ,0
20, ,m,3.466,3.335,2.877,2.851,6.11,2.542, ,0
22,9,m,3.435,3.435,3.057,3.057,6.433,2.948, ,1
23, ,m,3.694,3.656,3.244,3.239,6.275,2.844, ,0
24, ,m,3.371,3.371,3.002,3.002,5.732,2.872, ,0
26, ,m,3.681,3.612,3.187,3.163,6.167,2.853, ,0
27, ,m,3.829,3.81,3.41,3.406,6.477,2.945, ,0
29,10,m,3.665,3.647,3.175,3.162,6.496,2.74, ,1
31, ,m,3.705,3.696,3.265,3.222,6.296,2.873, ,0
32, ,m,3.862,3.865,3.218,3.25,6.413,2.986, ,0
34, ,m,3.357, ,2.91, ,5.868,2.48, ,0
35, ,m,3.515,3.372,3.137,3.064,5.905,2.881, ,0
38,11,m,3.558, ,3.056,3.087,6.107,2.89, ,1
39,12,m,3.49,3.52,2.979,3.01,6.106,2.695, ,1
42,13,m,3.723,3.725,3.238,3.238,6.462,2.939, ,1
43,14,m,3.543,3.578,2.909,3.018,6.376,3.082, ,1
46,15,m, ,3.26,2.938,2.962,5.713,2.779, ,1
49, ,m,3.759,3.698,3.11,3.106,6.329,3.023, ,0
52, ,m,3.827,3.821,3.181,3.109,6.306,3.004, ,0
54,16,m,3.501,3.583,2.854,3.047,6.36,2.713, ,1
55, ,m,3.642, ,3.063, ,6.506,2.595, ,0
56, ,m,3.339,3.33,2.806,2.802,5.987,2.287, ,0
58,17,m,3.71,3.687,3.207,3.215,6.268,2.854, ,1
62, ,m,3.748,3.717,3.199,3.222,6.547,3.047, ,0
63, ,m,3.593,3.597,3.052,3.085,6.002,2.919, ,0
64, ,m,3.341,3.332,2.791,2.842,5.855,2.603, ,0
68, ,m,3.518,3.523,3.012,3.058,6.319,2.814, ,0
69, ,m,3.397,3.321,2.748,2.77,5.831,2.721, ,0
70, ,m,3.846,3.875,3.309,3.297,6.622,2.907, ,0
72, ,m,3.438,3.533,2.945,2.879,5.8,2.733, ,0
73, ,m,3.589,3.611,3.051,2.913,6.221,2.733, ,0
75,18,m,3.726,3.773,3.178,3.15,5.919,2.936, ,1
77,19,m,3.561,3.582,3.126,3.1,6.34,2.723, ,1
81, ,m,3.93,3.984,3.267,3.232,6.938,3.035, ,0
82, ,m,3.828,3.842,3.25,3.288,6.532,3.007, ,0
84, ,m,3.7,3.662,3.286,3.244,6.106,2.855, ,0
86,20,m,3.694,3.652,3.195,3.101,6.468,2.889, ,1
88, ,m,3.712,3.699,3.208, ,6.139,2.912, ,0
89, ,m,3.316,3.243,2.804,2.828,5.585,2.538, ,0
93, ,m,3.684,3.621,3.091,3.072,6.528,2.631, ,0
96, ,m,3.643,3.612,3.28,3.177,6.329,2.758, ,0
97, ,m,3.516,3.516,2.984,2.949,5.564,2.658, ,0
99, ,m,3.62,3.603,3.185,3.175,6.061,2.802, ,0
100, ,m,3.657, ,3.143,3.13,6.006,2.915, ,0
104, ,m,3.414,3.434,2.922,2.934,5.863,2.789, ,0
105, ,m,3.695,3.708,3.149,3.135,5.938,2.961, ,0
107, ,m,3.593,3.606,3.054,3.046,5.896,3.084, ,0
108, ,m,3.338,3.34,2.856,2.846,5.813,2.56, ,0
109, ,m,3.597,3.512,3.069,3.006,5.943,2.8, ,0
113, ,m,3.454,3.428,2.953,2.97,5.425,2.832, ,0
114,21,m,3.432,3.316,2.847,2.903,5.539,2.741, ,1
116,22,m,3.732,3.726,3.158,3.125,6.396,2.912, ,1
118,23,m,3.978,3.983,3.419,3.423,6.418,3.301, ,1
125, ,m,3.403,3.478,2.846,2.862,5.53,2.672, ,0
126,24,m,3.37,3.391,3.058,3.019,6.042,2.747, ,1
130, ,m,3.357,3.349,2.854,2.862,5.547,2.8, ,0
131, ,m,3.38, ,3.091, ,5.787,3.007, ,0
132, ,m,3.894,3.84,3.325,3.318,6.176,2.896, ,0
134, ,m,3.594, ,2.998,2.75,5.878,2.707, ,0
135, ,m,3.436,3.457,3.043,3.037,5.895,2.742, ,0
136, ,m,3.827,3.857,3.355, ,6.432,3.005, ,0
137, ,m,3.373,3.325,2.781,2.771,6.172,2.866, ,0
138, ,m,3.527,3.563,3,3.087,6.155,2.732, ,0
141, ,m,3.588, ,3.113,3.091,6.051,2.698, ,0
142, ,m,3.768,3.808,3.148,3.159,6.258,3.019, ,0
143, ,m,3.749,3.794,3.37, ,6.301,2.948, ,0
144, ,m,3.872, ,3.371,3.63,6.268,3.072, ,0
145, ,m,3.724, ,3.201,3.258,6.262,2.894, ,0
148, ,m,3.723,3.748,3.161,3.33,6.183,2.974, ,0
149, ,m,3.267,3.254,2.713,2.752,5.493,2.564, ,0
151, ,m,3.673, ,3.175,3.116,6.165,2.949, ,0
152, ,m,3.549,3.502,2.916,2.944,5.579,2.767, ,0
153, ,m,3.749,3.761,3.321,3.319,6.449,2.98, ,0
155, ,m,3.712,3.707,3.019,3.121,6.221,2.8, ,0
156, ,m,3.728,3.675,3.166,3.146,6.612,2.726, ,0
158, ,m,3.408,3.493,2.84,2.871,5.789,2.734, ,0
159, ,m,3.625,3.663,3.174,3.238,6.289,2.619, ,0
161, ,m,3.573, ,3.161,3.002,6.074,2.693, ,0
162, ,m,3.736,3.691,3.236,3.206,6.195,2.845, ,0
164,25,m,3.521, ,3.154,3.217,6.215,2.784, ,1
166, ,m,3.578,3.575,3.047,3.062,5.92,2.705, ,0
167, ,m,3.591,3.558,3.018,3.024,6.025,2.863, ,0
168, ,m,3.501, ,2.898, ,5.465,2.773, ,0
169, ,m,3.777,3.649,3.11,3.302,6.154,2.9, ,0
171,,m,3.909,3.909,3.357,3.357,6.503,2.854,,0
179,,m,3.732,3.732,3.117,3.117,6.352,2.976,,0
177,,m,3.922,3.922,3.291,3.291,6.436,2.896,,0
181,,m,4.283,4.283,3.523,3.523,7.653,3.306,,0
174,,m,3.623,3.623,3.098,3.098,6.027,2.724,,0
170,,m,3.476,3.476,2.997,2.997,5.924,2.796,,0
180,,m,3.857,3.857,3.188,3.188,6.322,3.127,,0
176,,m,3.632,3.632,3.184,3.184,6.138,2.919,,0
180,,m,3.896,3.896,3.289,3.289,6.27,3.009,,0
173,,m,3.54,3.54,3.04,3.04,5.927,2.659,,0